,Accuracy,Precision,Recall,F1 Score,ROC AUC,Avg Precision,CV AUC Mean,CV AUC Std
Logistic Regression,0.75,0.5625,0.75,0.6428571428571429,0.7727380952380952,0.6435599033230136,0.7940848214285714,0.0435053175079419
Random Forest,0.745,0.5789473684210527,0.55,0.5641025641025641,0.7814285714285716,0.665739536064647,0.7931919642857144,0.026878919765695397
XGBoost,0.76,0.5967741935483871,0.6166666666666667,0.6065573770491803,0.7738095238095238,0.6406383544924492,0.7700892857142858,0.02328494616560433
LightGBM,0.74,0.5769230769230769,0.5,0.5357142857142857,0.7659523809523809,0.6236066813550252,0.7684151785714285,0.01105042230027686
